Sean Bergenheim,0.086075,0.129392,0.105390,0.113413,0.111376,0.346523,0.107832
Artem Anisimov,0.081843,0.448589,0.109387,0.029272,0.073901,0.166262,0.090746
Sam Gagner,0.185985,0.480210,0.118451,0.024620,0.061196,0.047555,0.081984
P.A. Parenteau,0.369799,0.224873,0.105332,0.058372,0.076350,0.085071,0.080203
David Steckel,0.046050,0.117127,0.112826,0.076269,0.139626,0.370888,0.137213
Ryan O'Reilly,0.130132,0.197752,0.093121,0.047452,0.075847,0.372123,0.083573
Dana Tyrell,0.035829,0.074574,0.196449,0.051706,0.268072,0.035574,0.337796
Kyle Chipchura,0.044054,0.118442,0.145888,0.138196,0.201124,0.157785,0.194512
David Booth,0.120183,0.260943,0.248791,0.058399,0.136340,0.042226,0.133119
Nick Foligno,0.048205,0.309883,0.202029,0.055970,0.153167,0.070338,0.160409
Liam Reddox,0.070843,0.104822,0.172978,0.161759,0.231413,0.065015,0.193171
Jean-Francois Jacques,0.043352,0.068679,0.102824,0.484262,0.146163,0.047282,0.107439
Kyle Okposo,0.177737,0.518145,0.088759,0.024571,0.053517,0.072315,0.064956
Brandon McMillan,0.063513,0.105536,0.201523,0.086050,0.225455,0.054972,0.262951
Drew Miller,0.022953,0.055181,0.204736,0.029605,0.263017,0.023250,0.401259
Frans Nielsen,0.100736,0.137691,0.103494,0.086886,0.101488,0.365320,0.104386
Patrick Kane,0.485399,0.148835,0.097632,0.046731,0.071025,0.070865,0.079513
Colin Wilson,0.133504,0.231627,0.280518,0.032180,0.112630,0.036804,0.172737
Sergei Kostitsyn,0.055708,0.158718,0.272245,0.032005,0.151376,0.043022,0.286926
Eric Nystrom,0.025491,0.081008,0.167342,0.071285,0.334924,0.054905,0.265045
James Wright,0.028368,0.069410,0.152199,0.107063,0.322128,0.045280,0.275552
Rod Pelley,0.035963,0.095059,0.149468,0.095244,0.279415,0.103386,0.241465
Jakub Voracek,0.108262,0.568935,0.096476,0.022584,0.056713,0.073883,0.073147
Marcus Kruger,0.058102,0.157716,0.217207,0.053699,0.174136,0.070778,0.268362
Martin Hanzal,0.068379,0.155644,0.123767,0.175789,0.138268,0.218413,0.119739
Matt Duchene,0.073876,0.438588,0.186638,0.023225,0.087139,0.055781,0.134752
